"qid";"categoria";"pergunta";"ground_truth_MS";"resposta_chatbot";"I1_acuracia (correta/parcial/incorreta)";"I2_severidade (1-5; NA se correta)";"comentarios_qualitativos"
"DI-01";"diagnostico";"Qual o ponto de corte da prova tuberculínica para indicar tratamento da ILTB em pacientes em uso de anti-TNF?";"Devem receber tratamento para TBi indivíduos com PPD maior ou igual a 5 mm e IGRA positivo, que estejam em uso ou iniciarão terapia biológica com ação anti-TNF alfa ou uso de dose acima de 15 mg/dia de prednisona por período superior a um mês.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, o ponto de corte da prova tuberculínica (PPD) para indicar tratamento da Infecção Latente por Tuberculose (ILTB) em pacientes em uso de anti-TNF alfa é maior ou igual a 5 mm, além de IGRA positivo. 

Além disso, o Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, também menciona que indivíduos em uso de inibidores do TNF-α devem ser tratados se tiverem PPD ≥ 5mm ou IGRA positivo. 

Portanto, o ponto de corte é de 5 mm ou mais, combinado com um resultado positivo no IGRA. (Seção: Trecho 1 — GEDIIB_TratamentoTuberculose.md e Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md)";"";"";""
"DI-02";"diagnostico";"Qual exame é superior para diagnóstico da ILTB: IGRA ou PPD?";"Não há superioridade do IGRA sobre o PPD e vice-versa. O PPD sofre influência da vacina BCG até dois anos depois de sua aplicação. No caso do IGRA, existe a possibilidade de resultado indeterminado, especialmente em condições de moradia em região endêmica, tratamento com corticoide ou imunossupressor, atividade de doença, idade avançada, baixos níveis de albumina, linfopenia e altos níveis de proteína C reativa.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, ""Não há superioridade do IGRA sobre o PPD e vice-versa."" Portanto, não há um exame considerado superior ao outro para o diagnóstico da ILTB. Cada um tem suas próprias vantagens e desvantagens, como descrito nos trechos subsequentes.";"";"";""
"DI-03";"diagnostico";"O que deve ser feito antes de iniciar o tratamento da ILTB?";"Antes de efetuar o tratamento da ILTB deve-se: (a) afastar definitivamente a tuberculose ativa e (b) realizar a notificação por meio da Ficha de notificação das pessoas em tratamento da ILTB. O diagnóstico de ILTB deve ser realizado por meio dos testes da PT ou do IGRA.";"Antes de iniciar o tratamento da ILTB, deve-se: (a) afastar definitivamente a tuberculose ativa e (b) realizar a notificação por meio da 'Ficha de notificação das pessoas em tratamento de ILTB' (Trecho 1 — recomendacoes-para-o-controle-da-tuberculose.md). Além disso, é importante investigar sinais e sintomas clínicos sugestivos de tuberculose ativa e, na presença de qualquer suspeita, investigar a tuberculose ativa e não tratar a ILTB nesse momento (Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md).";"";"";""
"DI-04";"diagnostico";"Quando o resultado do IGRA for indeterminado, o que fazer?";"Quando o resultado do IGRA for indeterminado, o exame deve ser repetido o mais breve possível. Se o resultado for mantido, é recomendado considerar o tratamento de TBi.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, quando o resultado do IGRA for indeterminado, o exame deve ser repetido o mais breve possível, e se o resultado for mantido, é recomendado considerar o tratamento de TBi.

Além disso, o Trecho 4 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, também menciona que, em caso de resultado indeterminado, o teste deve ser repetido. 

Portanto, a recomendação é repetir o teste IGRA quando o resultado for indeterminado.";"";"";""
"EA-01";"efeitos_adversos";"Quais são os principais efeitos adversos da isoniazida?";"Os principais efeitos adversos da isoniazida incluem: hepatotoxicidade (hepatite aguda medicamentosa), neuropatia periférica (pode ser prevenida com piridoxina), reações de hipersensibilidade. A hepatotoxicidade é a reação adversa mais grave e requer monitoramento das transaminases.";"De acordo com o Trecho 1 — recomendacoes-para-o-controle-da-tuberculose.md, os principais efeitos adversos da isoniazida incluem:

* Intolerância digestiva (náusea e vômito) e epigastralgia
* Prurido e exantema leve
* Dor articular
* Neuropatia periférica
* Cefaleia e mudança de comportamento (euforia, insônia, depressão leve, ansiedade e sonolência)
* Febre

Além disso, de acordo com o Trecho 2 — recomendacoes-para-o-controle-da-tuberculose.md, a isoniazida também pode causar:
* Exantema ou hipersensibilidade de moderada a grave
* Psicose, crise convulsiva, encefalopatia tóxica ou coma
* Hepatotoxicidade

Já no Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, são mencionados outros efeitos adversos associados ao uso concomitante de isoniazida com antirretrovirais, incluindo:
* Neuropatia periférica
* Confusão mental, insônia, pesadelos, tonturas
* Depressão
* Cefaleia
* Náuseas e vômitos
* Hepatotoxicidade

E no Trecho 4 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, são mencionadas interações entre a isoniazida e outros fármacos, que podem aumentar o risco de efeitos adversos, como:
* Indução de toxicidade neurológica com carbamazepina
* Maior neurotoxicidade com cicloserina/terizidona
* Maior metabolismo da isoniazida com corticoides
* Inibição da MAO com queijos e vinhos.";"";"";""
"EA-02";"efeitos_adversos";"Como prevenir a neuropatia periférica causada pela isoniazida?";"A neuropatia periférica causada pela isoniazida pode ser prevenida com a suplementação de piridoxina (vitamina B6). Em gestantes HIV negativas com indicação de tratamento, a isoniazida deve ser acompanhada de suplementação de piridoxina.";"De acordo com o [Trecho 2 — recomendacoes-para-o-controle-da-tuberculose.md], a conduta para prevenir a neuropatia periférica causada pela isoniazida é medicar com piridoxina (vitamina B6) na dosagem de 50mg/dia e avaliar a evolução. 

Além disso, no [Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md] é mencionado que, no caso de reação adversa de neuropatia periférica, a conduta preconizada é: Anti-inflamatórios não esteroides podem aliviar os sintomas. Considerar aumento de dose da piridoxina até dose máxima de 200 mg/dia. Iniciar tratamento com antidepressivo tricíclico (amitriptilina). Reduzir a dose ou, caso não haja controle dos sintomas, suspender o medicamento e substituí-lo pela melhor opção. 

Já no [Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md], é mencionado que, no caso de reação adversa de neuropatia periférica associada ao uso do antirretroviral AZT com os fármacos anti-TB Aminoglicosídeos, Etambutol, Etionamida, Isoniazida, Linezolida ou Terizidona, a conduta e observação são: Utilizar piridoxina até 200 mg/dia. Avaliar uso de amitriptilina, analgésicos e anti-inflamatório não esteroide.";"";"";""
"EA-03";"efeitos_adversos";"Quais doenças hepáticas são causas de encerramento do tratamento por efeito adverso?";"As causas básicas potencialmente relacionadas à hepatotoxicidade de interesse para investigação e registro no IL-TB incluem: Tuberculose (CID A15 a A19), Complicações do HIV (CID B22, B22.7, B23, B23.8), Hepatite aguda medicamentosa (CID K71) e Doença hepática aguda viral (CID B17).";"De acordo com o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 6.1, as reações adversas maiores incluem hepatotoxicidade, que é uma causa de encerramento do tratamento por efeito adverso. Além disso, no Trecho 4 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 7.8.4, é mencionado que os medicamentos de primeira linha que podem causar dano hepático são, por ordem de toxicidade: pirazinamida, isoniazida e rifampicina. Já os medicamentos de segunda linha que podem causar hepatotoxicidade incluem etionamida, protionamida e PAS.

Portanto, as doenças hepáticas que podem ser causas de encerramento do tratamento por efeito adverso incluem:

- Hepatotoxicidade
- Hepatopatia prévia
- Dano hepático causado por medicamentos como pirazinamida, isoniazida, rifampicina, etionamida, protionamida e PAS.

(Seção 6.1 e 7.8.4)";"";"";""
"ET-01";"esquemas_terapeuticos";"Qual a dose de isoniazida no esquema 3HP para adultos?";"No esquema 3HP, adultos (>14 anos, ≥30kg) tomam 900mg de isoniazida por semana, uma vez por semana, durante 3 meses (12 doses). O esquema prevê ajuste de dose por peso corporal.";"De acordo com o Trecho 1 — tratamento_infeccao_latente_tuberculose_rifapentina_eletronico.md, a dose de isoniazida no esquema 3HP para adultos (>14 anos, ≥30kg) é de 900mg/semana.";"";"";""
"ET-02";"esquemas_terapeuticos";"Qual a duração do esquema 3HP e quantas doses são necessárias?";"O tratamento 3HP estará completo quando ocorrer a tomada de 12 doses de isoniazida + rifapentina por 12 semanas. Dependendo do caso, esse prazo pode ser prorrogado para 15 semanas.";"De acordo com o Trecho 1 — tratamento_infeccao_latente_tuberculose_rifapentina_eletronico.md, o tratamento com o 3HP estará completo quando ocorrer a tomada de 12 doses de isoniazida + rifapentina por 12 semanas, podendo ser prorrogado para 15 semanas.

Além disso, o Trecho 3 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, confirma que o esquema 3HP consiste em 3 meses de tratamento, com 12 doses semanais, que podem ser tomadas durante 12 a 15 semanas.

Portanto, a duração do esquema 3HP é de 3 meses, com 12 doses semanais, totalizando 12 doses, podendo ser prorrogado para 15 semanas.";"";"";""
"ET-03";"esquemas_terapeuticos";"Qual a dose de rifampicina no esquema 4R para adultos e por quanto tempo?";"Rifampicina 600 mg/dia, indicada para adultos ≥ 50 kg, administrada diariamente por 4 meses, totalizando 120 doses; que podem ser completadas no período de 4 a 6 meses, conforme adesão ao tratamento.";"De acordo com o Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, a dose de rifampicina para adultos e adolescentes (> 10 anos de idade) é de 10 mg/kg/dia de peso até a dose máxima de 600 mg por dia. O tempo de tratamento é de 4 meses.

Além disso, o Trecho 3 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md também menciona o esquema 4R, indicando que a rifampicina (R) deve ser administrada diariamente por 4 meses, totalizando 120 doses, que podem ser completadas no período de 4 a 6 meses, conforme adesão ao tratamento.";"";"";""
