"ordem";"qid";"categoria";"pergunta";"ground_truth_MS";"resposta_chatbot";"I1_acuracia (correta/parcial/incorreta)";"I1_trecho_conflitante";"I2_severidade (1-5; NA se correta)";"I3a_fidelidade (1-5)";"I3b_relevancia_resposta (1-5)";"I3c_relevancia_contexto (1-5)";"comentarios_qualitativos"
"1";"ET-04";"esquemas_terapeuticos";"Qual a dose de isoniazida no esquema 6H para crianças?";"Esquemas pediátricos incluem isoniazida (10 mg/kg/dia; dose máxima: 300 mg/dia) administrada diariamente por 6 meses (totalizando 180 doses, a serem completadas em 6 a 9 meses).";"De acordo com o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, a dose de isoniazida para crianças (< 10 anos de idade) é de 10 mg/kg/dia de peso até dose máxima de 300mg/dia.

No entanto, é importante notar que o Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, apresenta uma faixa de dose recomendada para isoniazida em crianças, que é de 7-15 mg/kg/dia, com dose máxima de 300 mg/dia.

Já o Trecho 4 — GEDIIB_TratamentoTuberculose.md, especifica a dose de isoniazida para crianças como 10 mg/kg/dia, com dose máxima de 300 mg/dia, no esquema de 6 meses.

Portanto, considerando as informações disponíveis, a dose de isoniazida no esquema 6H para crianças é de 10 mg/kg/dia, com dose máxima de 300 mg/dia. (Trecho 2 e Trecho 4)";"";"";"";"";"";"";""
"2";"ET-05";"esquemas_terapeuticos";"Qual esquema é preferencial para hepatopatas e idosos acima de 50 anos?";"A rifampicina é o tratamento de escolha para hepatopatas e pessoas acima de 50 anos.";"De acordo com o Trecho 1 e o Trecho 3 do Manual de Recomendações para o controle da Tuberculose no Brasil, o regime com rifampicina (R) é preferencial para hepatopatas e indivíduos com mais de 50 anos de idade. 

No Trecho 3, está especificado que ""O regime com R é preferencial em indivíduos com mais de 50 anos de idade, crianças (< 10 anos de idade), hepatopatas..."". 

Além disso, no Trecho 4, no Quadro 2, o Esquema: Rifampicina (R) é indicado para ""Indivíduos com mais de 50 anos, hepatopatias, contatos de pessoas com TB monorresistente à H e intolerância à H"". 

Portanto, o esquema preferencial para hepatopatas e idosos acima de 50 anos é o regime com rifampicina (R). (Seção 8.6 e Seção 2.2.1)";"";"";"";"";"";"";""
"3";"PE-02";"populacoes_especiais";"Quando tratar ILTB em gestante HIV positiva?";"Em gestantes HIV positivas, preconiza-se o tratamento após o 3º mês de gestação.";"De acordo com o Trecho 1 e o Trecho 2, seção 8.5.1, recomenda-se tratar a ILTB em gestante com infecção pelo HIV após o terceiro mês de gestação. Além disso, é importante proceder com radiografia de tórax na gestante, com a devida proteção exigida para essa condição, a fim de afastar sinais de TB ativa antes do início do tratamento. (Trecho 1 e Trecho 2, seção 8.5.1)";"";"";"";"";"";"";""
"4";"PE-07";"populacoes_especiais";"Qual esquema usar para paciente com HIV?";"Para PVHIV, o esquema preferencial é a isoniazida (9H), pois o esquema 4R (rifampicina) está contraindicado em PVHIV em uso de inibidores de protease e integrase. O esquema 9H (270 doses, 9 a 12 meses) protege mais que o 6H. PVHIV com contagem de CD4 ≤ 350 células/µL têm indicação de tratamento para ILTB independentemente do resultado da PT ou IGRA.";"De acordo com o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, em caso de hepatopatia prévia, o esquema de multirresistência poderá ser utilizado sem a pirazinamida na sua composição. Além disso, o Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 7.8.5, menciona que o tratamento para a TB DR em pessoas que vivem com HIV é semelhante aos não infectados pelo HIV.

No entanto, para uma resposta mais específica sobre o esquema de tratamento para paciente com HIV, é importante considerar as diretrizes gerais para o tratamento da tuberculose em pessoas vivendo com HIV, que seguem o mesmo padrão do tratamento para a população em geral, conforme mencionado no Trecho 3.

Já o Trecho 4 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 8.5.2, fornece indicações específicas para o tratamento da ILTB em pessoas vivendo com HIV, considerando a contagem de LT-CD4+ e outros fatores. 

Portanto, a escolha do esquema de tratamento para um paciente com HIV deve ser baseada em uma avaliação individualizada, considerando fatores como a presença de hepatopatia, a contagem de LT-CD4+, e outras condições de saúde específicas do paciente. 

(Seção 7.8.5 e 8.5.2 do Manual de Recomendações para o controle da Tuberculose no Brasil.md)";"";"";"";"";"";"";""
"5";"DI-05";"diagnostico";"Qual a conduta para excluir TB ativa antes de tratar ILTB?";"Para excluir TB ativa antes de tratar ILTB, deve-se realizar: anamnese, exame clínico, laboratorial e radiografia de tórax (por vezes tomografia computadorizada de tórax). É importante excluir todas as formas clínicas da doença (pulmonar/laríngea e extrapulmonar), além de considerar vínculos epidemiológicos e exames bacteriológicos.";"De acordo com o [Trecho 2 — tratamento_infeccao_latente_tuberculose_rifapentina_eletronico.md], antes de efetuar o tratamento da ILTB, deve-se afastar definitivamente a TB ativa. No entanto, os passos específicos para excluir a TB ativa não são detalhados nesse trecho. 

No [Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md], para um paciente assintomático com PT ≥ 5 mm, a conduta é realizar Rx de tórax. Se o Rx de tórax for alterado, a conduta é consultar para continuar investigação e excluir TB ativa. 

Já no [Trecho 4 — recomendacoes-para-o-controle-da-tuberculose.md], é mencionado que antes de efetuar o tratamento da ILTB, deve-se afastar definitivamente a tuberculose ativa, mas não são fornecidos detalhes sobre como realizar essa exclusão.

Portanto, com base nas informações fornecidas, a conduta para excluir TB ativa antes de tratar ILTB envolve a realização de Rx de tórax para pacientes assintomáticos com PT ≥ 5 mm e investigação adicional se o Rx for alterado, mas os passos exatos para afastar a TB ativa não são especificados nos trechos fornecidos.";"";"";"";"";"";"";""
"6";"IT-01";"indicacoes_tratamento";"Quem deve receber tratamento da ILTB independente do resultado da PT ou IGRA?";"Alguns grupos devem ser tratados sem PT e sem IGRA, como contatos de alto risco com TB bacilífera. O Quadro 1 do Protocolo de Vigilância da ILTB especifica as indicações de tratamento, incluindo grupos que devem tratar sem PT/IGRA, grupos que tratam com PT ≥ 5mm ou IGRA positivo, e grupos que tratam com PT ≥ 10mm ou IGRA positivo.";"De acordo com o Trecho 1 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, as PVHIV que são contatos de pessoas com TB ativa (pulmonar ou laríngea) e as PVHIV com contagem de CD4 ≤ 350 células/µL devem realizar o tratamento para ILTB, independentemente do resultado da prova tuberculínica (PT) ou do IGRA.

Além disso, o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, especifica que as PVHIV com radiografia de tórax normal e contagem de LT-CD4+ ≤ a 350 céls/mm³, ou com contato intradomiciliar ou institucional de pacientes com TB pulmonar ou laríngea, também devem receber tratamento da ILTB independentemente do resultado da PT ou IGRA.

Portanto, os grupos que devem receber tratamento da ILTB independente do resultado da PT ou IGRA incluem:
- PVHIV que são contatos de pessoas com TB ativa (pulmonar ou laríngea)
- PVHIV com contagem de CD4 ≤ 350 células/µL
- PVHIV com radiografia de tórax normal e contagem de LT-CD4+ ≤ a 350 céls/mm³
- PVHIV com radiografia de tórax normal e contato intradomiciliar ou institucional de pacientes com TB pulmonar ou laríngea.";"";"";"";"";"";"";""
"7";"IM-04";"interacoes_medicamentosas";"Quanto tempo antes do início de terapia imunossupressora deve ser iniciado o tratamento da ILTB?";"O Ministério da Saúde recomenda que o tratamento da TBi seja iniciado 30 dias antes do uso da terapia imunossupressora.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, o MS recomenda que o tratamento da TBi seja iniciado 30 dias antes do uso da terapia imunossupressora. Além disso, é mencionado que o Consenso Europeu recomenda aguardar 4 semanas para início do tratamento imunossupressor, exceto em casos de maior urgência clínica após aconselhamento especializado. Portanto, o tratamento da ILTB deve ser iniciado 30 dias antes do início da terapia imunossupressora, de acordo com as recomendações do MS. (Trecho 1 — GEDIIB_TratamentoTuberculose.md)";"";"";"";"";"";"";""
"8";"EA-04";"efeitos_adversos";"O que acontece com o tratamento da ILTB quando a paciente engravida durante o tratamento?";"O diagnóstico de gravidez no decorrer do tratamento é uma causa de descontinuidade do tratamento. A paciente deverá iniciar um novo tratamento para ILTB após o parto. Para o novo tratamento, cada caso necessitará ser avaliado individualmente, considerando o número de doses tomadas até a interrupção do tratamento.";"De acordo com o Trecho 1 — recomendacoes-para-o-controle-da-tuberculose.md, ""Postergar o tratamento da ILTB para depois do parto. Em gestante com infecção pelo HIV, tratar a ILTB após o terceiro mês de gestação."" 

Além disso, o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, na seção 8.5.1. Gestantes, reforça que ""Recomenda-se postergar o tratamento da ILTB para após o parto. Em gestante com infecção pelo HIV, tratar a ILTB após o terceiro mês de gestação.""

Portanto, o tratamento da ILTB deve ser postergado para após o parto, exceto em casos de gestantes com infecção pelo HIV, que devem iniciar o tratamento após o terceiro mês de gestação. (Seção 8.5.1. Gestantes, Trecho 2)";"";"";"";"";"";"";""
"9";"MO-02";"monitoramento";"Quando devo suspender o tratamento da ILTB por hepatotoxicidade?";"Durante o tratamento da ILTB, a hepatite aguda medicamentosa (CID K71) é uma das causas de interesse para investigação e registro. O tratamento deve ser suspenso diante de sinais de hepatotoxicidade clinicamente significativa, como elevação de transaminases com sintomas.";"De acordo com o Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, o tratamento da ILTB deve ser suspenso por reação adversa, incluindo hepatotoxicidade, quando a pessoa apresentar reações adversas maiores, com necessidade de suspensão ou troca do tratamento. Além disso, o Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md menciona que a realização das provas de função hepática pode ser necessária, após avaliação médica, quando identificado alto risco de hepatotoxicidade, como no caso de alcoolistas, uso de outros medicamentos hepatotóxicos ou com infecção crônica por hepatite B ou C. 

Portanto, a suspensão do tratamento da ILTB por hepatotoxicidade deve ser feita com base na avaliação médica e na identificação de reações adversas maiores ou alto risco de hepatotoxicidade. (Seção 3.4.4 e 8.7)";"";"";"";"";"";"";""
"10";"FE-01";"fora_do_escopo";"Qual o tratamento para tuberculose ativa com resistência à rifampicina?";"(N/A — fora do escopo)";"(não coletado)";"";"";"";"";"";"";""
